anho,universidad,nivel,unidad_academica,programa_curso,matriculados_m,matriculados_h,matriculados_t,egresados_m,egresados_h,egresados_t,total_general,docentes_m,docentes_h,docentes_t,area_conocimiento
2023,UNE,G,Ciencias Economicas,Ciencias Economicas,1190,801,1991,508,188,696,2687,348,279,627,Ciencias Economicas y Administracion
2023,UNE,G,Ciencias de la Salud,Ciencias de la Salud,241,146,387,25,17,42,429,82,75,157,Salud
2023,UNE,G,Politecnica,Politecnica,557,999,1556,14,26,40,1596,79,99,178,Ingenieria y Tecnologia
2023,UNE,G,Filosofia,Filosofia,1265,844,2109,134,90,224,2333,198,143,341,Educacion y Humanidades
2023,UNE,G,Derecho y Ciencias Sociales,Derecho y Ciencias Sociales,630,406,1036,1502,1436,2938,3974,97,93,190,Derecho y Ciencias Sociales
2023,UNE,G,Ingenieria Agronomica,Ingenieria Agronomica,338,500,838,45,66,111,949,88,84,172,Ciencias Agrarias
2023,UNE,G,Escuela Superior de Bellas Artes,Escuela Superior de Bellas Artes,136,96,232,12,8,20,252,50,25,75,Educacion y Humanidades
2023,UNE,P,ESPO,Habilitacion Pedagogica,102,33,135,53,16,69,204,12,2,14,Educacion y Humanidades
2023,UNE,P,ESPO,Especializacion en Didactica Universitaria,463,312,775,306,221,527,10302,14,9,23,Educacion y Humanidades
2023,UNE,P,ESPO,Especializacion en Administracion Publica,20,30,50,25,25,50,100,4,4,8,Ciencias Economicas y Administracion
2023,UNE,P,ESPO,Maestria en Educacion,20,12,32,8,8,16,48,7,7,14,Educacion y Humanidades
2023,UNE,P,ESPO,Maestria en Investigacion Cientifica,68,26,94,17,5,22,116,7,9,16,Multidisciplinaria
2023,UNE,P,ESPO,Maestria en Gestion de Proyectos,7,12,19,2,3,5,24,2,6,8,Ciencias Economicas y Administracion
2023,UNE,P,ESPO,Doctorado en Educacion,11,9,20,2,1,3,23,1,9,10,Educacion y Humanidades
2023,UNE,P,Ciencias Economicas,Especializacion en Auditoria y Control de Gestion,13,12,25,0,0,0,25,1,1,2,Ciencias Economicas y Administracion
2023,UNE,P,Ciencias Economicas,Especializacion en Finanzas con enfasis en Proyecto de Inversion,23,16,39,15,1,16,55,2,2,4,Ciencias Economicas y Administracion
2023,UNE,P,Ciencias Economicas,Maestria en Administracion de Empresas,26,14,40,11,6,17,57,0,4,4,Ciencias Economicas y Administracion
2023,UNE,P,Ciencias de la Salud,Ecografia General Obstetrica y Ginecologica,27,18,45,9,9,18,63,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Clinica Pediatrica,9,3,12,4,2,6,18,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Ginecologia y Obstetricia,12,6,18,7,2,9,27,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Medicina Interna,10,8,18,0,3,3,21,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Cirugia General,7,10,17,1,2,3,20,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Medicina Familiar y Comunitaria,11,11,22,1,1,2,24,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Anestesiologia,0,0,0,0,0,0,0,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Gestion de Servicios de Salud,3,3,6,1,0,1,7,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Enfermeria en Cuidados Criticos del Adulto,32,16,48,8,0,8,56,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Enfermeria en Emergencias y Urgencias,3,0,3,0,0,0,3,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Perinatologia,1,0,1,1,0,1,2,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Maestria en Ciencias de la Salud,3,2,5,2,0,2,7,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Maestria en Ciencias Medicas,6,4,10,0,0,0,10,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Maestria en Nutricion Clinica,3,0,3,0,0,0,3,0,0,0,Salud
2023,UNE,P,Ciencias de la Salud,Maestria en Ecografia General Obstetrica y Ginecologica,10,9,19,0,1,1,20,0,0,0,Salud
2023,UNE,P,Politecnica,Maestria en Informatica y Computacion,11,32,43,0,1,1,44,1,12,13,Ingenieria y Tecnologia
2023,UNE,P,Politecnica,Maestria en Ingenieria electrica,7,28,35,0,0,0,35,0,10,10,Ingenieria y Tecnologia
2023,UNE,P,Politecnica,Especializacion en Planeamiento de Sistemas de Energia Electrica,2,10,12,0,0,0,12,0,6,6,Ingenieria y Tecnologia
2023,UNE,P,Filosofia,Especializacion en Didactica Universitaria,241,161,402,74,49,123,525,17,25,42,Educacion y Humanidades
2023,UNE,P,Filosofia,Especializacion en Evaluacion Educativa,38,26,64,37,24,61,125,5,3,8,Educacion y Humanidades
2023,UNE,P,Filosofia,Especializacion en Gestion Educacional,49,32,81,37,25,62,143,3,5,8,Educacion y Humanidades
2023,UNE,P,Filosofia,Especializacion en Mediacion y Resolucion de conflictos,56,38,94,0,0,0,94,4,4,8,Derecho y Ciencias Sociales
2023,UNE,P,Filosofia,Especializacion en Psicologia clinica,232,155,387,136,91,227,614,5,3,8,Salud
2023,UNE,P,Filosofia,Especializacion en Psicologia Laboral,23,16,39,17,12,29,68,5,3,8,Salud
2023,UNE,P,Filosofia,Especializacion en Psicologia oncologica,29,19,48,0,0,0,48,5,3,8,Salud
2023,UNE,P,Filosofia,Maestria en Educacion Superior,100,65,165,0,0,0,165,8,10,18,Educacion y Humanidades
2023,UNE,P,Filosofia,Maestria en Psicologia Clinica,21,14,35,0,0,0,35,8,10,18,Salud
2023,UNE,P,Filosofia,Diplomado en Historia del Paraguay,19,13,32,19,13,32,64,2,1,3,Educacion y Humanidades
2023,UNE,P,Filosofia,Diplomado en Lengua Castellana,43,28,71,43,28,71,142,2,1,3,Educacion y Humanidades
2023,UNE,P,Filosofia,Diplomado en Educacion Inclusiva,80,54,134,80,54,134,268,2,1,3,Educacion y Humanidades
2023,UNE,P,Filosofia,Diplomado en Forense,94,63,157,94,63,157,314,3,0,3,Salud
2023,UNE,P,Filosofia,Diplomado en Logoterapia,41,28,69,41,28,69,138,0,3,3,Salud
2023,UNE,P,Filosofia,Diplomado en Psicopedagogia,48,32,80,48,32,80,160,1,2,3,Educacion y Humanidades
2023,UNE,P,Filosofia,Diplomado en Terapia Cognitiva conductual,56,38,94,56,38,94,188,3,0,3,Salud
2023,UNE,P,Filosofia,Diplomado en Marketing Digital y Redes Sociales,47,32,79,47,32,79,158,3,0,3,Ciencias Economicas y Administracion
2023,UNE,P,Filosofia,Diplomado en Periodismo Transmedia,51,34,85,51,34,85,170,3,0,3,Educacion y Humanidades
2023,UNE,P,Filosofia,Diplomado en evaluacion con fines de acreditacion de carreras de grado,37,24,61,37,24,61,122,0,3,3,Educacion y Humanidades
2023,UNE,P,Derecho y Ciencias Sociales,Especializacion en Ciencias Juridicas con enfasis en Derecho Civil,10,16,26,17,13,30,56,2,5,7,Derecho y Ciencias Sociales
2023,UNE,P,Derecho y Ciencias Sociales,Especializacion en Ciencias Juridicas con enfasis en Derecho Penal,13,15,28,6,7,13,41,2,5,7,Derecho y Ciencias Sociales
2023,UNE,P,Derecho y Ciencias Sociales,Maestria en Ciencias Juridicas con enfasis en Derecho civil,50,36,86,0,0,0,86,5,6,11,Derecho y Ciencias Sociales
2023,UNE,P,Derecho y Ciencias Sociales,Maestria en Ciencias Juridicas con enfasis en Derecho Penal,21,32,53,0,0,0,53,2,9,11,Derecho y Ciencias Sociales
2023,UNE,P,Ingenieria Agronomica,Maestrias,37,31,68,3,1,4,72,20,13,33,Ciencias Agrarias
2023,UNP,G,Ciencias Contables Administrativas y Economicas,Ciencias Contables Administrativas y Economicas,504,296,800,182,73,255,1055,80,51,131,Ciencias Economicas y Administracion
2023,UNP,G,Ciencias Agropecuarias y Desarrollo Rural,Ciencias Agropecuarias y Desarrollo Rural,164,180,344,21,22,43,387,32,36,68,Ciencias Agrarias
2023,UNP,G,Derecho Ciencias Politicas y Sociales,Derecho Ciencias Politicas y Sociales,733,433,1166,155,114,269,1435,58,82,140,Derecho y Ciencias Sociales
2023,UNP,G,Humanidades y Ciencias de la Educacion,Humanidades y Ciencias de la Educacion,453,140,593,32,9,41,634,51,40,91,Educacion y Humanidades
